Sector,GVA_2000,GVA_2024,EMP_2000,EMP_2024
Agriculture ,0.913808904,0.615960243,1.256164201,0.981164895
Mining & quarrying ,2.146093983,1.149835628,0.253232041,0.125023782
Manufacturing ,14.79896508,8.807729577,13.00813008,7.012203408
Utilities,1.18691868,1.247544133,0.329868053,0.38322507
Water & waste management,1.322309028,1.146678518,0.549780088,0.657733808
Construction ,5.762950436,6.096784038,6.450753032,6.052781779
Retail & wholesale,11.71597393,9.524434007,16.48673864,12.88560324
Transport & storage ,4.53380455,3.496377823,4.668132747,5.117821325
Accommodation & food,2.623251292,2.838970394,6.067572971,7.343788221
Information & comm ,6.083553161,5.83850816,3.981740637,4.451933792
Finance & insurance ,6.614481805,8.644207472,3.871784619,3.215285516
Real estate,14.24342921,13.39047702,1.052912168,1.848177642
Professional & technical ,5.831303828,8.454942779,6.154204985,9.542576033
Business admin & support ,3.810777558,5.383601,7.253765161,8.039572745
Public admin & defence,5.019569323,5.181545964,5.467812875,4.680238089
Education ,5.122453836,6.361009854,7.480341197,8.330388933
Health & social care,5.498144332,8.777656081,10.23257364,13.71456527
Arts & entrainment,1.139020673,1.340719352,2.482340397,2.989699128
Other services,1.633190382,1.702937003,2.955484473,2.625499416