Industry,Contribution,Relative size of industry
Total,-0.4,100.00
Education,0.3,7.00
Mining and Quarrying,0.2,1.40
Transport and Storage,0.2,3.90
Admin. Services,0.2,6.00
IT,0.2,6.60
Construction,0.1,6.70
Manufacturing,0.00,9.80
Energy,0.0,1.40
Recreation and Culture,0.0,1.50
Hotels and Catering,-0.0,3.20
Business Services,-0.1,9.40
Water Supply,-0.1,1.30
Public admin and defence,-0.1,5.80
Finance and Insurance,-0.1,9.50
Other Services,-0.1,1.90
Agriculture,-0.1,0.70
Health,-0.2,9.50
Wholesale and Retail,-0.2,10.60
Real Estate,-0.3,3.90
Between-industry reallocation,-0.6,