Industry,GVA,Hours worked (sign reversed),Output per hour worked
Whole economy,0.60,-1.00,-0.40
Mining and Quarrying,-5.30,19.70,17.90
Transport and Storage,5.40,0.80,6.20
Education,2.00,1.90,3.90
Admin. Services,2.30,0.50,2.90
IT,0.90,1.60,2.50
Construction,-0.80,2.30,1.50
Energy,0.40,0.30,0.70
Recreation and Culture,0.00,0.10,0.10
Manufacturing,-1.10,1.10,0.00
Hotels and Catering,0.00,-0.20,-0.20
Business Services,2.80,-3.40,-0.60
Finance and Insurance,-1.60,1.00,-0.60
Public admin and defence,2.40,-3.50,-1.10
Health,2.30,-4.10,-1.80
Wholesale and Retail,-0.20,-1.90,-2.10
Other Services,1.60,-5.20,-3.40
Water Supply,-2.20,-2.00,-4.10
Real Estate,-2.80,-4.10,-6.70
Agriculture,0.60,-12.70,-10.80